SEASON,total,jma_class,any_int,pos_only
1923,20,0,0,20
1924,19,0,0,19
1925,13,0,0,13
1926,17,0,0,17
1927,18,0,0,18
1928,15,0,0,15
1929,18,0,0,18
1930,16,0,0,16
1931,18,0,0,18
1932,23,0,0,23
1933,20,0,0,20
1934,22,0,0,22
1935,17,0,0,17
1936,19,0,0,19
1937,17,0,0,17
1938,22,0,0,22
1939,27,0,0,27
1940,28,0,0,28
1941,20,0,0,20
1942,19,0,0,19
1943,23,0,0,23
1944,15,0,0,15
1945,23,0,17,6
1946,17,0,10,7
1947,19,0,14,5
1948,21,0,18,3
1949,27,0,17,10
1950,23,0,12,11
1951,20,8,15,5
1952,31,12,24,7
1953,25,12,18,7
1954,22,6,15,7
1955,19,8,16,3
1956,34,14,20,14
1957,19,9,14,5
1958,24,12,20,4
1959,23,12,19,4
1960,29,14,19,10
1961,34,15,20,14
1962,24,16,20,4
1963,24,10,16,8
1964,35,22,28,7
1965,28,12,21,7
1966,27,15,19,8
1967,32,15,22,10
1968,19,10,15,4
1969,23,8,13,10
1970,30,10,16,14
1971,37,20,28,9
1972,19,11,16,3
1973,23,13,15,8
1974,26,16,23,3
1975,23,12,18,5
1976,21,11,18,3
1977,19,13,14,5
1978,27,18,21,6
1979,28,22,24,4
1980,21,14,17,4
1981,22,18,18,4
1982,20,18,18,2
1983,24,19,21,3
1984,21,16,18,3
1985,28,21,21,7
1986,24,20,21,3
1987,20,16,17,3
1988,24,19,20,4
1989,24,19,20,4
1990,25,18,24,1
1991,22,20,22,0
1992,20,16,18,2
1993,28,21,28,0
1994,27,21,27,0
1995,24,16,24,0
1996,23,15,23,0
1997,16,13,16,0
1998,18,12,18,0
1999,20,13,19,1
2000,22,15,21,1
2001,20,13,18,2
2002,15,10,15,0
2003,20,17,20,0
2004,23,21,23,0
2005,17,16,17,0
2006,19,17,18,1
2007,16,14,15,1
2008,21,18,21,0
2009,20,16,20,0
2010,13,11,13,0
2011,18,16,18,0
2012,21,19,21,0
2013,25,24,25,0
2014,20,18,20,0
2015,16,14,16,0
2016,15,14,15,0
2017,24,20,24,0
2018,25,20,25,0
2019,22,17,21,1
2020,24,20,22,2
2021,17,13,17,0
2022,19,15,19,0
2023,13,10,11,2
